index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
0,Esso Trøgstad,0,95786765,"Kirkeveien 2, 1860 Trøgstad","59.631761880262594, 11.318870495352646",/søk=Ålesund,/søk=Ålesund,Ålesund,Ålesund,Møre og Romsdal,"62.47782827713669, 6.143937163380567",2022-02-24 01:39:06.921160,00.00
1,Max bensinstasjon,0,62457255,"Gammelvegen 25, 2430 Jordet","61.4461684863358, 12.321317851500234",/søk=Arendal,/søk=Arendal,Arendal,Arendal,Agder,"58.4600196, 8.765288",2022-02-24 01:39:34.145351,00.00
2,Circle K Holtandalen,0,33044270,"H B Haraldsens gate 36 A, 3188 Horten","59.41096237828197, 10.465559770543763",/søk=Bergen,/søk=Bergen,Bergen,Bergen,Vestland,"60.3943055, 5.3259192",2022-02-24 01:47:39.523915,00.00
3,Shell Gol,0,37040367,"Heradvegen 3, 3550 Gol","60.70246578533581, 8.985295512939958",/søk=Bodø,/søk=Bodø,Bodø,Bodø,Nordland,"67.2844323, 14.3817466",2022-02-24 02:30:47.349365,00.00
4,Tanken Grimstad,0,99095286,"Smith-Petersens gate 7, 4876 Grimstad","58.34170678020629, 8.594936119425125",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Drammen,Drammen,Viken,"59.7436749, 10.2043749",2022-02-24 01:39:06.921160,00.00
5,Shell Knapphus,0,57631380,"Haukelivegen 495, 5576 Øvre Vats","59.52978320607861, 5.6863260626411085",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Egersund,Eigersund,Rogaland,"58.4515121, 6.0007554",2022-02-24 01:39:34.145351,00.00
6,Esso Aurland,0,45516118,"Onstadvegen 5, 5745 Aurland","60.9041015421639, 7.184275991197792",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Farsund,Farsund,Agder,"58.0951137, 6.8047461",2022-02-24 01:47:39.523915,00.00
7,Yx Tiller,0,63902259,"Østre Rosten 32, 7075 Tiller","63.360774792440374, 10.375073589193281",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Flekkefjord,Flekkefjord,Agder,"58.3014494, 6.672900875",2022-02-24 02:30:47.349365,00.00
8,Shell Vormsund,0,53476650,"Eidsvollvegen 1a, 2160 Vormsund","60.15780337807537, 11.421530049381406",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Florø,Flora,Vestland,"61.6001158, 5.0315582",2022-02-24 01:39:06.921160,00.00
9,Eide Bensinstasjon  MECA,0,91777240,"Klostervegen 136, 5455 Halsnøy Kloster","48.9743989, 18.8019261",/søk=Max bensinstasjon,/stasjon=Max bensinstasjon,Fredrikstad,Fredrikstad,Viken,"59.2133614, 10.9361604",2022-02-24 01:39:34.145351,00.00
